Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,"5,768","6,148","6,436","6,644","7,163","7,342","7,483","8,437","7,868","7,970","7,926","7,852","8,162","8,187","8,542","8,833","9,370","9,559","9,825","10,247","10,543",,"8,831","11,693","15,794","20,156","24,996","29,698","31,616","33,723","39,001","44,851","51,579","59,316","68,213","78,445","90,212","103,743","119,305","137,201","157,781","181,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,"3,600","3,646","3,868","4,163","3,869","4,018","4,207","5,240","4,285","4,691","4,789","5,404","4,804","4,673","4,931","5,308","4,977","5,174","5,120","5,767","5,263",,"6,257","8,033","9,968","12,440","15,276","17,333","19,168","19,715","21,038","23,563","26,391","29,558","33,104","37,077","41,526","46,509","52,090","58,341","65,342","73,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross profit,"2,168","2,503","2,568","2,481","3,295","3,324","3,277","3,197","3,583","3,279","3,137","2,448","3,358","3,514","3,611","3,525","4,393","4,385","4,705","4,479","5,280",,"2,573","3,660","5,827","7,716","9,720","12,365","12,447","14,008","17,963","21,288","25,188","29,758","35,109","41,368","48,685","57,234","67,214","78,859","92,438","108,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,504,434,528,763,513,604,636,778,556,575,568,832,555,627,559,917,654,644,643,976,688,,"1,098","1,436","2,369","2,652","2,228","2,546","2,531","2,658","2,918","3,209","3,530","3,883","4,272","4,699","5,169","5,685","6,254","6,879","7,567","8,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,454,435,454,487,525,537,564,719,658,717,663,674,687,658,657,673,702,711,735,777,823,,780,954,"1,222","1,545","1,830","2,274","2,711","2,676","2,925","3,218","3,540","3,894","4,283","4,711","5,182","5,701","6,271","6,898","7,587","8,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,252,277,272,276,297,335,322,423,398,409,373,392,401,401,479,439,404,427,417,454,421,,316,431,630,914,"1,076","1,352","1,573","1,720","1,702","1,872","2,059","2,265","2,492","2,741","3,015","3,317","3,648","4,013","4,415","4,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,"1,210","1,147","1,253","1,525","1,335","1,476","1,522","1,920","1,611","1,701","1,604","1,898","1,644","1,687","1,694","2,029","1,761","1,782","1,795","2,206","1,933",,"2,193","2,821","4,222","5,112","5,134","6,171","6,814","7,054","7,545","8,299","9,129","10,042","11,046","12,151","13,366","14,703","16,173","17,790","19,569","21,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,958,"1,356","1,315",957,"1,960","1,848","1,755","1,276","1,972","1,578","1,533",550,"1,714","1,827","1,916","1,496","2,633","2,603","2,909","2,273","3,347",,380,839,"1,605","2,604","4,585","6,194","5,633","6,954","10,418","12,989","16,059","19,716","24,062","29,217","35,319","42,531","51,041","61,069","72,869","86,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest ex,-184,-189,-197,-197,-194,-191,-190,-187,-188,-175,-173,-171,-174,-175,-176,-175,-173,-168,-185,-193,-184,,-150,-238,-420,-626,-767,-766,-706,-700,-719,-700,-700,-700,-700,-700,-700,-700,-700,-700,-700,-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,22,-133,-256,-251,269,-63,96,634,196,220,261,-340,-71,27,168,-173,155,79,-22,54,51,,31,-115,42,84,-618,411,337,-49,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,796,"1,033",861,509,"2,035","1,594","1,661","1,723","1,980","1,623","1,622",39,"1,469","1,679","1,909","1,148","2,615","2,514","2,703","2,134","3,214",,261,485,"1,226","2,062","3,199","5,840","5,264","6,205","9,966","12,289","15,359","19,016","23,362","28,517","34,619","41,831","50,341","60,369","72,169","86,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-466,Taxes,-87,-315,71,-107,-328,-241,-212,-343,-382,-182,-224,16,-165,-192,-232,-209,-282,-367,-339,-266,-323,,-74,74,-15,-195,-438,-724,-772,-797,"-1,254",-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net income,709,718,933,402,"1,707","1,353","1,449","1,381","1,597","1,441","1,399",55,"1,304","1,488","1,677",939,"2,332","2,147","2,364","1,869","2,890",,187,559,"1,211","1,867","2,761","5,116","4,492","5,408","8,712","11,789","14,859","18,516","22,862","28,017","34,119","41,331","49,841","59,869","71,669","85,538","86,393","87,257","88,130","89,011","89,901","90,800","91,708","92,625","93,552","94,487","95,432","96,386","97,350","98,324","99,307","100,300","101,303","102,316","103,339","104,373","105,416","106,470","107,535","108,611","109,697","110,794","111,902","113,021","114,151","115,292","116,445","117,610","118,786","119,974","121,173","122,385","123,609","124,845","126,093","127,354","128,628","129,914","131,213","132,525","133,851"
,EPS,1.57,1.58,2.05,0.88,3.75,2.97,3.19,3.03,3.53,3.20,3.11,0.12,2.88,3.29,3.73,2.09,5.28,4.88,5.40,4.26,6.61,,0.43,1.25,2.68,4.13,6.08,11.23,9.95,12.03,19.83,27.11,34.51,43.44,54.18,67.07,82.50,100.95,122.97,149.20,180.41,217.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,452,454,455,454,456,455,455,455,453,450,450,449,452,452,450,449,442,440,438,439,437,,439,447,451,452,454,455,451,449,439,435,431,426,422,418,414,409,405,401,397,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12%,Revenue y/y,,,,,24%,19%,16%,27%,10%,9%,6%,-7%,4%,3%,8%,12%,15%,17%,15%,16%,13%,,,32%,35%,28%,24%,19%,6%,7%,16%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72%,Net income y/y,,,,,141%,88%,55%,244%,-6%,6%,-3%,-96%,-18%,3%,20%,1607%,79%,44%,41%,99%,24%,,,199%,117%,54%,48%,85%,-12%,20%,61%,35%,26%,25%,23%,23%,22%,21%,21%,20%,20%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43%,Gross Margin,,,,,46%,45%,44%,38%,46%,41%,40%,31%,41%,43%,42%,40%,47%,46%,48%,44%,50%,,29%,31%,37%,38%,39%,42%,39%,42%,46%,47%,49%,50%,51%,53%,54%,55%,56%,57%,59%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maturity,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,"247,442 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shares,629.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Difference,-35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
